trial,owner,repo,api_type,response_time_ms,response_size_bytes,http_status
8,twbs,bootstrap,REST,439.523,6205,200
8,ohmyzsh,ohmyzsh,REST,519.076,6661,200
8,ohmyzsh,ohmyzsh,GraphQL,406.381,544,200
8,angular,angular,REST,549.973,6473,200
8,angular,angular,GraphQL,463.162,241,200
8,golang,go,REST,493.925,6125,200
8,golang,go,GraphQL,523.846,219,200
8,kubernetes,kubernetes,REST,534.264,6600,200
8,kubernetes,kubernetes,GraphQL,420.842,252,200
8,nodejs,node,REST,533.183,6037,200
8,nodejs,node,GraphQL,374.898,243,200
8,django,django,GraphQL,337.718,248,200
8,django,django,REST,467.352,6209,200
8,rails,rails,REST,404.083,5969,200
8,rails,rails,GraphQL,354.627,208,200
8,laravel,laravel,GraphQL,417.754,387,200
8,laravel,laravel,REST,426.479,6228,200
8,flutter,flutter,REST,438.101,6655,200
8,flutter,flutter,GraphQL,419.745,276,200
8,denoland,deno,GraphQL,427.71,242,200
8,denoland,deno,REST,472.536,6161,200
8,rust-lang,rust,GraphQL,425.924,258,200
8,rust-lang,rust,REST,407.123,6264,200
8,apple,swift,REST,683.655,6249,200
8,apple,swift,GraphQL,385.64,227,200
8,libp2p,go-libp2p,GraphQL,435.656,222,200
8,libp2p,go-libp2p,REST,402.532,6195,200
8,python,cpython,GraphQL,501.864,231,200
8,python,cpython,REST,481.327,6080,200
9,facebook,react,REST,732.009,6035,200
9,facebook,react,GraphQL,413.315,249,200
9,vuejs,vue,GraphQL,436.243,274,200
9,vuejs,vue,REST,530.348,5949,200
9,microsoft,vscode,REST,530.967,6517,200
9,microsoft,vscode,GraphQL,527.644,223,200
9,torvalds,linux,REST,425.981,5079,200
9,torvalds,linux,GraphQL,366.824,215,200
9,tensorflow,tensorflow,REST,516.36,6822,200
9,tensorflow,tensorflow,GraphQL,384.614,254,200
9,twbs,bootstrap,REST,539.527,6205,200
9,twbs,bootstrap,GraphQL,425.929,312,200
9,ohmyzsh,ohmyzsh,GraphQL,527.049,544,200
9,ohmyzsh,ohmyzsh,REST,432.821,6661,200
9,angular,angular,REST,627.628,6473,200
9,angular,angular,GraphQL,373.041,241,200
9,golang,go,GraphQL,483.956,219,200
9,golang,go,REST,633.558,6125,200
9,kubernetes,kubernetes,GraphQL,353.567,252,200
9,kubernetes,kubernetes,REST,463.638,6600,200
